,date,min,avg,max
47,1946-08-07,50.0 °F,70.5 °F,88.0 °F
48,1946-08-08,63.0 °F,73.0 °F,84.9 °F
49,1946-08-09,66.0 °F,77.1 °F,90.0 °F
50,1946-08-10,60.1 °F,69.4 °F,79.0 °F
51,1946-08-11,60.1 °F,66.4 °F,73.0 °F
52,1946-08-12,46.0 °F,62.5 °F,78.1 °F
53,1946-08-13,52.0 °F,66.0 °F,78.1 °F
54,1946-08-14,57.0 °F,65.7 °F,79.0 °F
55,1946-08-15,66.9 °F,72.1 °F,82.0 °F
56,1946-08-16,66.0 °F,77.3 °F,89.1 °F
57,1946-08-17,66.9 °F,75.7 °F,84.9 °F
58,1946-08-18,63.0 °F,72.7 °F,84.9 °F
59,1946-08-19,55.9 °F,67.8 °F,77.0 °F
60,1946-08-20,53.1 °F,66.8 °F,80.1 °F
61,1946-08-21,57.9 °F,71.2 °F,86.0 °F
62,1946-08-22,57.0 °F,66.2 °F,73.9 °F
63,1946-08-23,50.0 °F,61.7 °F,72.0 °F
64,1946-08-24,48.0 °F,62.2 °F,77.0 °F
65,1946-08-25,50.0 °F,64.6 °F,79.0 °F
66,1946-08-26,51.1 °F,65.4 °F,82.0 °F
67,1946-08-27,53.1 °F,66.0 °F,80.1 °F
68,1946-08-28,53.1 °F,60.4 °F,71.1 °F
69,1946-08-29,53.1 °F,59.3 °F,66.0 °F
70,1946-08-30,45.0 °F,58.8 °F,73.9 °F
71,1946-08-31,50.0 °F,65.0 °F,80.1 °F
72,1946-09-01,61.0 °F,67.4 °F,78.1 °F
73,1946-09-02,39.0 °F,56.1 °F,72.0 °F
74,1946-09-03,48.0 °F,59.5 °F,73.9 °F
75,1946-09-04,48.9 °F,63.4 °F,80.1 °F
76,1946-09-05,55.0 °F,66.1 °F,75.9 °F
77,1946-09-06,64.0 °F,74.8 °F,91.0 °F
78,1946-09-07,64.9 °F,73.5 °F,84.9 °F
79,1946-09-08,64.0 °F,72.1 °F,87.1 °F
80,1946-09-09,60.1 °F,72.1 °F,84.9 °F
81,1946-09-10,64.9 °F,70.0 °F,75.0 °F
82,1946-09-11,50.0 °F,62.1 °F,78.1 °F
83,1946-09-12,45.0 °F,54.1 °F,61.0 °F
84,1946-09-13,43.0 °F,56.5 °F,68.0 °F
85,1946-09-14,53.1 °F,63.3 °F,80.1 °F
86,1946-09-15,53.1 °F,67.4 °F,82.0 °F
87,1946-09-16,57.0 °F,69.6 °F,84.0 °F
88,1946-09-17,55.9 °F,68.8 °F,84.0 °F
89,1946-09-18,50.0 °F,65.9 °F,84.9 °F
90,1946-09-19,51.1 °F,66.3 °F,84.0 °F
91,1946-09-20,59.0 °F,65.0 °F,72.0 °F
92,1946-09-21,43.0 °F,59.8 °F,80.1 °F
93,1946-09-22,51.1 °F,64.8 °F,82.0 °F
94,1947-06-21,55.9 °F,64.4 °F,75.9 °F
95,1947-06-22,60.1 °F,69.3 °F,80.1 °F
96,1947-06-23,62.1 °F,71.8 °F,78.1 °F
97,1947-06-24,64.9 °F,72.1 °F,82.9 °F
98,1947-06-25,60.1 °F,70.9 °F,81.0 °F
99,1947-06-26,63.0 °F,73.1 °F,86.0 °F
100,1947-06-27,70.0 °F,76.2 °F,87.1 °F
101,1947-06-28,66.0 °F,79.2 °F,93.0 °F
102,1947-06-29,66.9 °F,77.0 °F,90.0 °F
103,1947-06-30,64.0 °F,71.7 °F,81.0 °F
104,1947-07-01,64.0 °F,72.4 °F,78.1 °F
105,1947-07-02,55.9 °F,65.4 °F,73.9 °F
106,1947-07-03,55.9 °F,69.3 °F,84.0 °F
107,1947-07-04,62.1 °F,74.6 °F,88.0 °F
108,1947-07-05,68.0 °F,73.2 °F,81.0 °F
109,1947-07-06,64.0 °F,67.5 °F,77.0 °F
110,1947-07-07,57.9 °F,64.5 °F,73.0 °F
111,1947-07-08,57.0 °F,66.9 °F,75.0 °F
112,1947-07-09,55.0 °F,67.7 °F,75.0 °F
113,1947-07-10,60.1 °F,67.5 °F,72.0 °F
114,1947-07-11,59.0 °F,69.4 °F,82.0 °F
115,1947-07-12,64.9 °F,77.3 °F,90.0 °F
116,1947-07-13,66.0 °F,76.0 °F,87.1 °F
117,1947-07-14,68.0 °F,77.5 °F,86.0 °F
118,1947-07-15,64.9 °F,69.0 °F,77.0 °F
119,1947-07-16,64.9 °F,68.8 °F,75.9 °F
120,1947-07-17,63.0 °F,73.3 °F,86.0 °F
121,1947-07-18,73.0 °F,77.1 °F,82.0 °F
122,1947-07-19,54.0 °F,62.8 °F,70.0 °F
123,1947-07-20,55.9 °F,65.1 °F,79.0 °F
124,1947-07-21,53.1 °F,60.1 °F,66.0 °F
125,1947-07-22,46.9 °F,57.4 °F,64.0 °F
126,1947-07-23,50.0 °F,63.8 °F,79.0 °F
127,1947-07-24,57.0 °F,70.2 °F,82.9 °F
128,1947-07-25,60.1 °F,73.0 °F,87.1 °F
129,1947-07-26,70.0 °F,79.1 °F,91.0 °F
130,1947-07-27,68.0 °F,77.4 °F,86.0 °F
131,1947-07-28,62.1 °F,71.4 °F,79.0 °F
132,1947-07-29,63.0 °F,76.9 °F,91.9 °F
133,1947-07-30,73.9 °F,83.0 °F,96.1 °F
134,1947-07-31,62.1 °F,70.7 °F,89.1 °F
135,1947-08-01,50.0 °F,61.1 °F,71.1 °F
136,1947-08-02,64.9 °F,73.1 °F,89.1 °F
137,1947-08-03,70.0 °F,76.6 °F,86.0 °F
138,1947-08-04,70.0 °F,82.5 °F,100.9 °F
139,1947-08-05,75.9 °F,88.1 °F,99.0 °F
140,1947-08-06,75.9 °F,88.3 °F,100.0 °F
141,1947-08-07,72.0 °F,79.7 °F,93.9 °F
142,1947-08-08,64.0 °F,71.9 °F,80.1 °F
143,1947-08-09,63.0 °F,73.0 °F,82.9 °F
144,1947-08-10,66.9 °F,76.9 °F,88.0 °F
145,1947-08-11,68.0 °F,79.6 °F,93.0 °F
146,1947-08-12,73.9 °F,83.3 °F,93.0 °F
147,1947-08-13,75.0 °F,83.9 °F,93.0 °F
148,1947-08-14,75.0 °F,80.8 °F,88.0 °F
149,1947-08-15,66.9 °F,75.0 °F,81.0 °F
150,1947-08-16,66.9 °F,73.3 °F,79.0 °F
151,1947-08-17,66.9 °F,79.9 °F,97.0 °F
152,1947-08-18,77.0 °F,87.4 °F,98.1 °F
153,1947-08-19,73.9 °F,82.9 °F,95.0 °F
154,1947-08-20,73.0 °F,81.0 °F,97.0 °F
155,1947-08-21,75.0 °F,81.2 °F,91.0 °F
156,1947-08-22,73.9 °F,82.3 °F,93.9 °F
157,1947-08-23,75.0 °F,84.3 °F,93.9 °F
158,1947-08-24,75.9 °F,85.2 °F,100.0 °F
159,1947-08-25,72.0 °F,76.1 °F,82.0 °F
160,1947-08-26,64.0 °F,70.6 °F,73.9 °F
161,1947-08-27,59.0 °F,70.5 °F,84.0 °F
162,1947-08-28,66.9 °F,76.2 °F,91.0 °F
163,1947-08-29,66.0 °F,71.8 °F,80.1 °F
164,1947-08-30,71.1 °F,79.3 °F,93.0 °F
165,1947-08-31,70.0 °F,75.0 °F,86.0 °F
166,1947-09-01,64.9 °F,72.9 °F,86.0 °F
167,1947-09-02,63.0 °F,74.9 °F,88.0 °F
168,1947-09-03,66.0 °F,77.5 °F,93.0 °F
169,1947-09-04,70.0 °F,75.6 °F,81.0 °F
170,1947-09-05,68.0 °F,72.7 °F,77.0 °F
171,1947-09-06,63.0 °F,73.2 °F,84.9 °F
172,1947-09-07,63.0 °F,74.3 °F,84.9 °F
173,1947-09-08,70.0 °F,77.0 °F,84.0 °F
174,1947-09-09,70.0 °F,78.2 °F,84.9 °F
175,1947-09-10,71.1 °F,78.7 °F,88.0 °F
176,1947-09-11,72.0 °F,76.5 °F,84.9 °F
177,1947-09-12,71.1 °F,75.9 °F,79.0 °F
178,1947-09-13,62.1 °F,69.9 °F,75.9 °F
179,1947-09-14,63.0 °F,77.3 °F,87.1 °F
180,1947-09-15,50.0 °F,62.9 °F,70.0 °F
181,1947-09-16,50.0 °F,65.9 °F,75.0 °F
182,1947-09-17,54.0 °F,71.4 °F,80.1 °F
183,1947-09-18,66.9 °F,81.0 °F,88.0 °F
184,1947-09-19,66.9 °F,81.3 °F,90.0 °F
185,1947-09-20,64.0 °F,80.3 °F,90.0 °F
186,1947-09-21,53.1 °F,58.6 °F,82.0 °F
187,1947-09-22,42.1 °F,47.6 °F,57.9 °F
188,1948-06-21,62.1 °F,67.8 °F,79.0 °F
189,1948-06-22,68.0 °F,75.6 °F,87.1 °F
190,1948-06-23,66.0 °F,75.9 °F,88.0 °F
191,1948-06-24,70.0 °F,75.2 °F,82.0 °F
192,1948-06-25,66.0 °F,73.9 °F,82.9 °F
193,1948-06-26,63.0 °F,72.7 °F,84.9 °F
194,1948-06-27,69.1 °F,74.3 °F,81.0 °F
195,1948-06-28,68.0 °F,76.2 °F,88.0 °F
196,1948-06-29,68.0 °F,72.9 °F,79.0 °F
197,1948-06-30,61.0 °F,68.6 °F,77.0 °F
198,1948-07-01,53.1 °F,64.7 °F,75.0 °F
199,1948-07-02,63.0 °F,75.5 °F,93.0 °F
200,1948-07-03,70.0 °F,81.2 °F,93.0 °F
201,1948-07-04,64.9 °F,76.6 °F,88.0 °F
202,1948-07-05,70.0 °F,76.9 °F,86.0 °F
203,1948-07-06,71.1 °F,76.9 °F,84.0 °F
204,1948-07-07,61.0 °F,69.1 °F,78.1 °F
205,1948-07-08,61.0 °F,71.6 °F,82.0 °F
206,1948-07-09,62.1 °F,75.2 °F,89.1 °F
207,1948-07-10,69.1 °F,77.9 °F,90.0 °F
208,1948-07-11,69.1 °F,78.7 °F,90.0 °F
209,1948-07-12,71.1 °F,77.0 °F,88.0 °F
210,1948-07-13,70.0 °F,74.3 °F,80.1 °F
211,1948-07-14,64.0 °F,68.7 °F,72.0 °F
212,1948-07-15,66.0 °F,71.8 °F,80.1 °F
213,1948-07-16,69.1 °F,76.3 °F,87.1 °F
214,1948-07-17,70.0 °F,79.4 °F,89.1 °F
215,1948-07-18,64.0 °F,75.3 °F,84.9 °F
216,1948-07-19,66.9 °F,75.6 °F,82.9 °F
217,1948-07-20,68.0 °F,78.3 °F,91.0 °F
218,1948-07-21,71.1 °F,78.7 °F,89.1 °F
219,1948-07-22,71.1 °F,78.3 °F,88.0 °F
220,1948-07-23,60.1 °F,67.3 °F,73.0 °F
221,1948-07-24,57.0 °F,68.4 °F,80.1 °F
222,1948-07-25,61.0 °F,71.7 °F,82.0 °F
223,1948-07-26,69.1 °F,75.3 °F,86.0 °F
224,1948-07-27,68.0 °F,76.3 °F,87.1 °F
225,1948-07-28,63.0 °F,74.0 °F,82.9 °F
226,1948-07-29,62.1 °F,76.2 °F,90.0 °F
227,1948-07-30,72.0 °F,79.4 °F,86.0 °F
228,1948-07-31,60.1 °F,71.9 °F,82.0 °F
229,1948-08-01,62.1 °F,71.8 °F,80.1 °F
230,1948-08-02,57.9 °F,69.6 °F,78.1 °F
231,1948-08-03,68.0 °F,70.9 °F,75.9 °F
232,1948-08-04,61.0 °F,65.9 °F,72.0 °F
233,1948-08-05,55.0 °F,64.9 °F,72.0 °F
234,1948-08-06,51.1 °F,63.9 °F,77.0 °F
235,1948-08-07,62.1 °F,69.5 °F,78.1 °F
236,1948-08-08,63.0 °F,68.2 °F,73.9 °F
237,1948-08-09,64.0 °F,71.0 °F,81.0 °F
238,1948-08-10,64.0 °F,74.6 °F,88.0 °F
239,1948-08-11,66.0 °F,74.2 °F,82.9 °F
240,1948-08-12,64.9 °F,73.7 °F,86.0 °F
241,1948-08-13,63.0 °F,69.7 °F,75.0 °F
242,1948-08-14,60.1 °F,68.6 °F,78.1 °F
243,1948-08-15,57.0 °F,68.6 °F,79.0 °F
244,1948-08-16,57.0 °F,71.2 °F,84.9 °F
245,1948-08-17,60.1 °F,69.2 °F,80.1 °F
246,1948-08-18,61.0 °F,70.8 °F,80.1 °F
247,1948-08-19,62.1 °F,69.9 °F,77.0 °F
248,1948-08-20,57.9 °F,70.9 °F,86.0 °F
249,1948-08-21,63.0 °F,75.8 °F,89.1 °F
250,1948-08-22,71.1 °F,80.8 °F,93.9 °F
251,1948-08-23,70.0 °F,81.7 °F,93.9 °F
252,1948-08-24,71.1 °F,82.8 °F,98.1 °F
253,1948-08-25,72.0 °F,84.5 °F,95.0 °F
254,1948-08-26,72.0 °F,83.2 °F,95.0 °F
255,1948-08-27,73.0 °F,82.8 °F,96.1 °F
256,1948-08-28,73.9 °F,82.1 °F,93.0 °F
257,1948-08-29,72.0 °F,82.6 °F,93.0 °F
258,1948-08-30,66.9 °F,73.9 °F,81.0 °F
259,1948-08-31,63.0 °F,71.5 °F,80.1 °F
260,1948-09-01,57.9 °F,67.4 °F,75.0 °F
261,1948-09-02,60.1 °F,70.9 °F,81.0 °F
262,1948-09-03,64.9 °F,72.9 °F,82.0 °F
263,1948-09-04,57.0 °F,71.6 °F,86.0 °F
264,1948-09-05,64.9 °F,74.6 °F,84.9 °F
265,1948-09-06,68.0 °F,74.0 °F,80.1 °F
266,1948-09-07,63.0 °F,73.9 °F,86.0 °F
267,1948-09-08,57.9 °F,66.7 °F,78.1 °F
268,1948-09-09,51.1 °F,62.1 °F,73.9 °F
269,1948-09-10,55.0 °F,64.7 °F,73.0 °F
270,1948-09-11,55.9 °F,67.5 °F,84.9 °F
271,1948-09-12,61.0 °F,74.5 °F,89.1 °F
272,1948-09-13,64.9 °F,73.2 °F,82.0 °F
273,1948-09-14,61.0 °F,67.1 °F,72.0 °F
274,1948-09-15,51.1 °F,66.7 °F,86.0 °F
275,1948-09-16,57.0 °F,72.0 °F,89.1 °F
276,1948-09-17,64.9 °F,74.7 °F,89.1 °F
277,1948-09-18,68.0 °F,77.9 °F,90.0 °F
278,1948-09-19,69.1 °F,79.6 °F,91.9 °F
279,1948-09-20,68.0 °F,72.6 °F,84.9 °F
280,1948-09-21,60.1 °F,63.9 °F,69.1 °F
281,1948-09-22,55.9 °F,60.8 °F,64.9 °F
282,1949-06-21,71.1 °F,77.6 °F,87.1 °F
283,1949-06-22,62.1 °F,73.3 °F,84.0 °F
284,1949-06-23,66.9 °F,74.3 °F,84.0 °F
285,1949-06-24,70.0 °F,79.1 °F,90.0 °F
286,1949-06-25,73.0 °F,78.6 °F,86.0 °F
287,1949-06-26,73.9 °F,80.1 °F,88.0 °F
288,1949-06-27,71.1 °F,78.8 °F,88.0 °F
289,1949-06-28,71.1 °F,79.9 °F,90.0 °F
290,1949-06-29,73.9 °F,79.1 °F,87.1 °F
291,1949-06-30,68.0 °F,79.6 °F,93.9 °F
292,1949-07-01,75.0 °F,84.1 °F,98.1 °F
293,1949-07-02,75.9 °F,84.0 °F,93.0 °F
294,1949-07-03,73.9 °F,85.9 °F,102.0 °F
295,1949-07-04,71.1 °F,85.3 °F,97.0 °F
296,1949-07-05,77.0 °F,84.5 °F,95.0 °F
297,1949-07-06,70.0 °F,78.1 °F,87.1 °F
298,1949-07-07,75.0 °F,78.0 °F,84.0 °F
299,1949-07-08,72.0 °F,78.8 °F,89.1 °F
300,1949-07-09,75.0 °F,77.8 °F,84.9 °F
301,1949-07-10,70.0 °F,74.9 °F,82.9 °F
302,1949-07-11,59.0 °F,71.7 °F,84.9 °F
303,1949-07-12,69.1 °F,73.4 °F,81.0 °F
304,1949-07-13,62.1 °F,74.3 °F,86.0 °F
305,1949-07-14,66.9 °F,72.1 °F,82.0 °F
306,1949-07-15,64.0 °F,70.5 °F,80.1 °F
307,1949-07-16,62.1 °F,74.4 °F,86.0 °F
308,1949-07-17,64.0 °F,77.0 °F,87.1 °F
309,1949-07-18,68.0 °F,78.2 °F,90.0 °F
310,1949-07-19,73.0 °F,79.7 °F,88.0 °F
311,1949-07-20,66.0 °F,75.1 °F,84.9 °F
312,1949-07-21,69.1 °F,74.3 °F,84.9 °F
313,1949-07-22,70.0 °F,77.7 °F,84.0 °F
314,1949-07-23,62.1 °F,75.2 °F,89.1 °F
315,1949-07-24,71.1 °F,79.9 °F,91.9 °F
316,1949-07-25,73.0 °F,81.7 °F,91.0 °F
317,1949-07-26,73.9 °F,78.8 °F,87.1 °F
318,1949-07-27,73.0 °F,80.7 °F,93.0 °F
319,1949-07-28,77.0 °F,83.8 °F,93.9 °F
320,1949-07-29,71.1 °F,78.7 °F,89.1 °F
321,1949-07-30,66.9 °F,71.8 °F,77.0 °F
322,1949-07-31,57.0 °F,66.4 °F,75.0 °F
323,1949-08-01,55.9 °F,67.2 °F,80.1 °F
324,1949-08-02,63.0 °F,71.9 °F,80.1 °F
325,1949-08-03,62.1 °F,70.8 °F,79.0 °F
326,1949-08-04,59.0 °F,70.1 °F,79.0 °F
327,1949-08-05,60.1 °F,72.3 °F,86.0 °F
328,1949-08-06,66.0 °F,76.4 °F,89.1 °F
329,1949-08-07,73.0 °F,81.0 °F,93.9 °F
330,1949-08-08,73.9 °F,82.8 °F,93.9 °F
331,1949-08-09,71.1 °F,82.8 °F,93.9 °F
332,1949-08-10,73.0 °F,82.9 °F,93.0 °F
333,1949-08-11,73.0 °F,78.0 °F,88.0 °F
334,1949-08-12,73.0 °F,77.2 °F,82.9 °F
335,1949-08-13,71.1 °F,75.6 °F,82.0 °F
336,1949-08-14,71.1 °F,77.4 °F,87.1 °F
337,1949-08-15,73.0 °F,78.6 °F,84.9 °F
338,1949-08-16,73.0 °F,79.6 °F,86.0 °F
339,1949-08-17,70.0 °F,76.4 °F,84.0 °F
340,1949-08-18,70.0 °F,75.5 °F,84.9 °F
341,1949-08-19,68.0 °F,71.9 °F,75.9 °F
342,1949-08-20,55.9 °F,66.1 °F,72.0 °F
343,1949-08-21,53.1 °F,66.2 °F,79.0 °F
344,1949-08-22,54.0 °F,68.0 °F,81.0 °F
345,1949-08-23,57.9 °F,71.6 °F,89.1 °F
346,1949-08-24,64.0 °F,76.8 °F,89.1 °F
347,1949-08-25,66.0 °F,78.3 °F,91.9 °F
348,1949-08-26,66.9 °F,79.7 °F,91.0 °F
349,1949-08-27,68.0 °F,76.9 °F,86.0 °F
350,1949-08-28,64.9 °F,70.0 °F,79.0 °F
351,1949-08-29,55.0 °F,68.2 °F,79.0 °F
352,1949-08-30,62.1 °F,68.7 °F,78.1 °F
353,1949-08-31,54.0 °F,65.8 °F,77.0 °F
354,1949-09-01,45.0 °F,55.2 °F,68.0 °F
355,1949-09-02,46.9 °F,61.4 °F,79.0 °F
356,1949-09-03,53.1 °F,68.2 °F,84.9 °F
357,1949-09-04,63.0 °F,72.5 °F,82.9 °F
358,1949-09-05,62.1 °F,68.7 °F,73.0 °F
359,1949-09-06,59.0 °F,64.2 °F,72.0 °F
360,1949-09-07,61.0 °F,62.5 °F,66.0 °F
361,1949-09-08,48.0 °F,59.4 °F,72.0 °F
362,1949-09-09,51.1 °F,62.4 °F,73.0 °F
363,1949-09-10,48.0 °F,62.0 °F,78.1 °F
364,1949-09-11,59.0 °F,64.1 °F,69.1 °F
365,1949-09-12,62.1 °F,65.1 °F,68.0 °F
366,1949-09-13,55.0 °F,63.0 °F,66.9 °F
367,1949-09-14,43.0 °F,51.6 °F,60.1 °F
368,1949-09-15,42.1 °F,55.2 °F,71.1 °F
369,1949-09-16,46.0 °F,59.3 °F,75.0 °F
370,1949-09-17,55.0 °F,64.2 °F,80.1 °F
371,1949-09-18,66.9 °F,71.3 °F,79.0 °F
372,1949-09-19,53.1 °F,61.8 °F,73.0 °F
373,1949-09-20,46.0 °F,58.4 °F,73.0 °F
374,1949-09-21,59.0 °F,63.6 °F,68.0 °F
375,1949-09-22,51.1 °F,57.1 °F,64.0 °F
376,1950-06-21,59.0 °F,69.2 °F,84.0 °F
377,1950-06-22,64.9 °F,76.3 °F,87.1 °F
378,1950-06-23,73.9 °F,80.9 °F,90.0 °F
379,1950-06-24,66.9 °F,75.4 °F,86.0 °F
380,1950-06-25,64.9 °F,75.9 °F,90.0 °F
381,1950-06-26,75.0 °F,81.9 °F,88.0 °F
382,1950-06-27,60.1 °F,66.8 °F,75.0 °F
383,1950-06-28,57.0 °F,68.0 °F,80.1 °F
384,1950-06-29,55.9 °F,64.5 °F,73.9 °F
385,1950-06-30,59.0 °F,65.1 °F,73.0 °F
386,1950-07-01,51.1 °F,65.2 °F,84.0 °F
387,1950-07-02,64.9 °F,71.7 °F,80.1 °F
388,1950-07-03,57.0 °F,65.6 °F,75.0 °F
389,1950-07-04,63.0 °F,71.6 °F,79.0 °F
390,1950-07-05,61.0 °F,69.3 °F,80.1 °F
391,1950-07-06,57.9 °F,67.4 °F,75.9 °F
392,1950-07-07,59.0 °F,70.8 °F,82.9 °F
393,1950-07-08,57.9 °F,72.8 °F,86.0 °F
394,1950-07-09,63.0 °F,75.3 °F,88.0 °F
395,1950-07-10,66.9 °F,77.3 °F,88.0 °F
396,1950-07-11,64.0 °F,77.6 °F,91.9 °F
397,1950-07-12,66.9 °F,80.2 °F,93.0 °F
398,1950-07-13,63.0 °F,70.4 °F,87.1 °F
399,1950-07-14,53.1 °F,67.0 °F,81.0 °F
400,1950-07-15,57.9 °F,73.1 °F,87.1 °F
401,1950-07-16,68.0 °F,77.0 °F,86.0 °F
402,1950-07-17,69.1 °F,72.5 °F,80.1 °F
403,1950-07-18,64.0 °F,72.2 °F,79.0 °F
404,1950-07-19,68.0 °F,70.7 °F,78.1 °F
405,1950-07-20,61.0 °F,63.7 °F,75.9 °F
406,1950-07-21,55.0 °F,65.7 °F,79.0 °F
407,1950-07-22,57.9 °F,69.7 °F,82.0 °F
408,1950-07-23,64.0 °F,73.5 °F,86.0 °F
409,1950-07-24,64.0 °F,74.3 °F,81.0 °F
410,1950-07-25,60.1 °F,71.3 °F,82.0 °F
411,1950-07-26,63.0 °F,71.6 °F,81.0 °F
412,1950-07-27,62.1 °F,73.0 °F,84.0 °F
413,1950-07-28,66.0 °F,76.1 °F,87.1 °F
414,1950-07-29,66.0 °F,78.2 °F,89.1 °F
415,1950-07-30,68.0 °F,78.7 °F,90.0 °F
416,1950-07-31,73.0 °F,78.1 °F,84.9 °F
417,1950-08-01,70.0 °F,75.1 °F,82.9 °F
418,1950-08-02,60.1 °F,65.3 °F,77.0 °F
419,1950-08-03,53.1 °F,63.9 °F,77.0 °F
420,1950-08-04,60.1 °F,69.0 °F,77.0 °F
421,1950-08-05,57.0 °F,67.7 °F,75.0 °F
422,1950-08-06,55.9 °F,68.4 °F,80.1 °F
423,1950-08-07,57.9 °F,71.4 °F,86.0 °F
424,1950-08-08,64.9 °F,74.1 °F,82.9 °F
425,1950-08-09,64.9 °F,74.1 °F,84.9 °F
426,1950-08-10,66.0 °F,75.0 °F,87.1 °F
427,1950-08-11,63.0 °F,66.0 °F,70.0 °F
428,1950-08-12,55.0 °F,64.6 °F,73.0 °F
429,1950-08-13,57.9 °F,67.9 °F,78.1 °F
430,1950-08-14,60.1 °F,70.7 °F,84.0 °F
431,1950-08-15,64.9 °F,75.1 °F,86.0 °F
432,1950-08-16,68.0 °F,79.2 °F,91.0 °F
433,1950-08-17,70.0 °F,78.7 °F,88.0 °F
434,1950-08-18,61.0 °F,63.9 °F,66.9 °F
435,1950-08-19,55.0 °F,65.8 °F,79.0 °F
436,1950-08-20,48.0 °F,59.2 °F,70.0 °F
437,1950-08-21,46.0 °F,59.8 °F,75.0 °F
438,1950-08-22,55.9 °F,67.9 °F,82.0 °F
439,1950-08-23,59.0 °F,72.3 °F,84.9 °F
440,1950-08-24,63.0 °F,74.5 °F,86.0 °F
441,1950-08-25,63.0 °F,69.2 °F,80.1 °F
442,1950-08-26,62.1 °F,72.7 °F,90.0 °F
443,1950-08-27,69.1 °F,75.8 °F,87.1 °F
444,1950-08-28,66.9 °F,71.6 °F,78.1 °F
445,1950-08-29,62.1 °F,67.8 °F,75.0 °F
446,1950-08-30,63.0 °F,67.9 °F,75.9 °F
447,1950-08-31,64.0 °F,66.1 °F,70.0 °F
448,1950-09-01,64.9 °F,68.7 °F,73.9 °F
449,1950-09-02,63.0 °F,67.6 °F,73.0 °F
450,1950-09-03,57.0 °F,68.0 °F,82.9 °F
451,1950-09-04,59.0 °F,64.3 °F,72.0 °F
452,1950-09-05,55.0 °F,62.0 °F,66.9 °F
453,1950-09-06,48.9 °F,61.6 °F,73.9 °F
454,1950-09-07,51.1 °F,63.3 °F,75.0 °F
455,1950-09-08,63.0 °F,67.9 °F,78.1 °F
456,1950-09-09,66.0 °F,69.8 °F,77.0 °F
457,1950-09-10,64.9 °F,71.3 °F,84.0 °F
458,1950-09-11,66.0 °F,69.0 °F,73.0 °F
459,1950-09-12,60.1 °F,63.4 °F,64.9 °F
460,1950-09-13,61.0 °F,64.4 °F,70.0 °F
461,1950-09-14,59.0 °F,62.4 °F,66.0 °F
462,1950-09-15,51.1 °F,61.7 °F,73.0 °F
463,1950-09-16,51.1 °F,60.4 °F,72.0 °F
464,1950-09-17,54.0 °F,62.0 °F,72.0 °F
