,date,min,avg,max
0,1946-06-21,50.0 °F,58.6 °F,66.9 °F
1,1946-06-22,54.0 °F,67.5 °F,84.0 °F
2,1946-06-23,64.9 °F,76.9 °F,89.1 °F
3,1946-06-24,66.0 °F,77.9 °F,89.1 °F
4,1946-06-25,70.0 °F,76.8 °F,86.0 °F
5,1946-06-26,64.0 °F,74.1 °F,82.9 °F
6,1946-06-27,61.0 °F,72.5 °F,84.0 °F
7,1946-06-28,71.1 °F,80.8 °F,93.9 °F
8,1946-06-29,71.1 °F,81.9 °F,93.0 °F
9,1946-06-30,71.1 °F,77.5 °F,87.1 °F
10,1946-07-01,68.0 °F,72.4 °F,75.9 °F
11,1946-07-02,54.0 °F,67.0 °F,78.1 °F
12,1946-07-03,57.9 °F,69.2 °F,79.0 °F
13,1946-07-04,57.0 °F,69.2 °F,79.0 °F
14,1946-07-05,63.0 °F,73.2 °F,86.0 °F
15,1946-07-06,66.0 °F,78.0 °F,93.0 °F
16,1946-07-07,68.0 °F,79.7 °F,93.0 °F
17,1946-07-08,70.0 °F,77.2 °F,89.1 °F
18,1946-07-09,66.0 °F,75.5 °F,91.0 °F
19,1946-07-10,72.0 °F,78.2 °F,87.1 °F
20,1946-07-11,72.0 °F,76.6 °F,82.0 °F
21,1946-07-12,60.1 °F,72.0 °F,84.0 °F
22,1946-07-13,62.1 °F,75.5 °F,88.0 °F
23,1946-07-14,66.0 °F,76.4 °F,87.1 °F
24,1946-07-15,64.0 °F,67.5 °F,73.0 °F
25,1946-07-16,62.1 °F,69.3 °F,81.0 °F
26,1946-07-17,66.9 °F,73.5 °F,86.0 °F
27,1946-07-18,72.0 °F,83.6 °F,100.0 °F
28,1946-07-19,78.1 °F,85.1 °F,93.9 °F
29,1946-07-20,66.0 °F,75.5 °F,84.0 °F
30,1946-07-21,64.0 °F,74.0 °F,82.0 °F
31,1946-07-22,57.9 °F,68.9 °F,75.9 °F
32,1946-07-23,57.9 °F,73.4 °F,89.1 °F
33,1946-07-24,66.9 °F,74.0 °F,87.1 °F
34,1946-07-25,55.9 °F,64.9 °F,78.1 °F
35,1946-07-26,55.0 °F,67.2 °F,78.1 °F
36,1946-07-27,59.0 °F,71.0 °F,84.0 °F
37,1946-07-28,61.0 °F,74.1 °F,84.9 °F
38,1946-07-29,61.0 °F,75.7 °F,89.1 °F
39,1946-07-30,69.1 °F,73.9 °F,80.1 °F
40,1946-07-31,66.9 °F,72.2 °F,79.0 °F
41,1946-08-01,66.9 °F,69.4 °F,73.0 °F
42,1946-08-02,61.0 °F,74.0 °F,84.9 °F
43,1946-08-03,63.0 °F,77.0 °F,90.0 °F
44,1946-08-04,68.0 °F,78.8 °F,91.0 °F
45,1946-08-05,55.0 °F,70.6 °F,84.9 °F
46,1946-08-06,66.0 °F,72.1 °F,82.9 °F
